when, where, who, what, hours, stage
2024-06-04, grape seed, daniel jojo, TSI REP, 1.5, U1
2024-06-06, grape seed, daniel jojo, TSI REP, 1.5, 
2024-06-08, grape seed, daniel jojo, TSI REP, 1.5, 
2024-06-11, grape seed, daniel jojo, TSI REP, 1.5, 
2024-06-11, home, daddy, REP, 0.5, 
2024-06-12, home, daddy, REP, 0.5, 
2024-06-13, grape seed, daniel jojo, TSI REP, 1.5, 
2024-06-13, home, daddy, REP, 0.5, 
2024-06-14, home, daddy, REP, 0.5, 
2024-06-15, grape seed, daniel jojo, TSI REP, 1.5, 
2024-06-15, home, mother, REP, 0.5, 
2024-06-16, home, daddy, REP, 0.5, 
2024-06-17, home, daddy, REP, 0.5, 
2024-06-18, grape seed, daniel jojo, TSI REP, 1.5, 
2024-06-18, home, daddy, REP, 0.5, 
2024-06-19, home, daddy, REP, 0.5, 
2024-06-20, grape seed, daniel jojo, TSI REP, 1.5, 
2024-06-20, home, daddy, REP, 0.5, 
2024-06-21, home, daddy mother, REP, 0.5, 
2024-06-22, grape seed, daniel jojo, TSI REP, 1.5, 
2024-06-22, home, daddy, REP, 0.5, 
2024-06-23, home, daddy, REP, 0.5, 
2024-06-24, home, daddy mother, REP, 0.5, 
2024-06-25, grape seed, daniel jojo, TSI REP, 1.5, 
2024-06-25, home, daddy mother, REP, 0.5, 
2024-06-26, home, daddy mother, REP, 0.5, 
2024-06-27, grape seed, daniel jojo, TSI REP, 1.5, 
2024-06-27, home, daddy mother, REP, 0.5, 
2024-06-28, home, daddy mother, REP, 0.5, 
2024-06-29, grape seed, daniel jojo, TSI REP, 1.5, 
2024-06-29, home, daddy mother, REP, 0.5, 
2024-06-30, home, daddy mother, REP, 0.5, 
2024-07-01, home, mother, REP, 0.5, 
2024-07-02, grape seed, daniel jojo, TSI REP, 1.5, 
2024-07-02, home, daddy, REP, 0.5, 
2024-07-03, home, mother, REP, 0.5, 
2024-07-04, grape seed, daniel jojo, TSI REP, 1.5, 
2024-07-04, home, grandma, REP, 0.5, 
2024-07-05, home, daddy, REP, 0.5, 
2024-07-06, home, mother, REP, 0.5, 
2024-07-06, grape seed, daniel jojo, TSI REP, 1.5, 
2024-07-07, home, mother, REP, 0.5, 
2024-07-08, home, daddy, REP, 0.5, 
